19500,2010,toyota,tundra,excellent,119524
22800,2014,toyota,tacoma,excellent,41936
13500,2008,toyota,tundra,excellent,205851
21500,2009,toyota,tacoma,excellent,80874
13900,2015,subaru,forester,excellent,112680
18900,2017,toyota,rav4,excellent,45520
8999,2012,toyota,rav4,good,123000
19900,2016,toyota,rav4,excellent,68469
4400,2004,toyota,4runner,fair,259881
17900,2017,subaru,forester,good,76330
19500,2010,toyota,tundra,excellent,119524
14500,2007,toyota,4runner,excellent,81206
39588,2015,toyota,tacoma,excellent,17521
24988,2016,subaru,wrx,excellent,62090
30988,2015,toyota,tacoma,excellent,91643
5500,2003,honda,accord,excellent,135095
13500,2008,toyota,tundra,excellent,205851
7800,2012,honda,civic,excellent,91000
22800,2014,toyota,tacoma,excellent,41936
35995,2017,toyota,tacoma,excellent,53873
4400,2004,toyota,4runner,fair,259881
11995,2010,honda,accord,excellent,90167
11995,2010,honda,accord,excellent,90167
18750,2013,honda,civic,excellent,513
9900,2010,subaru,outback,excellent,129000
19999,2016,honda,accord,excellent,12083
27750,2013,subaru,wrx,excellent,59425
16000,2008,toyota,tacoma,good,134000
25995,2018,honda,accord,excellent,27009
4400,2004,toyota,4runner,fair,259881
17500,2011,toyota,tacoma,excellent,84000
4400,2004,toyota,4runner,fair,259881
14500,2007,toyota,4runner,excellent,81206
7800,2012,honda,civic,excellent,91000
20499,2017,subaru,outback,excellent,75437
25500,2019,subaru,forester,excellent,19974
19999,2016,honda,accord,excellent,12083
25500,2019,subaru,forester,excellent,19974
4400,2004,toyota,4runner,fair,259881
25995,2018,honda,accord,excellent,27055
35995,2017,toyota,tacoma,excellent,49100
23995,2019,subaru,forester,excellent,16380
28750,2014,toyota,tundra,good,81400
23000,2017,subaru,outback,excellent,79000
5500,2001,toyota,tundra,excellent,251545
15500,2010,toyota,tundra,good,113000
14995,2004,toyota,tacoma,excellent,145698
14995,2006,toyota,tacoma,excellent,145547
26995,2019,toyota,rav4,excellent,28465
17995,2013,toyota,rav4,excellent,110904
6300,2010,toyota,tacoma,fair,230000
31995,2016,subaru,wrx,excellent,67500
9000,2005,toyota,4runner,excellent,132500
1400,2003,honda,civic,good,170084
18000,2014,subaru,forester,excellent,108000
459,2017,honda,accord,excellent,29001
16590,2014,toyota,tacoma,good,101812
31990,2016,toyota,4runner,good,21066
5975,2008,honda,civic,excellent,178000
5000,2008,honda,accord,good,172500
2999,2003,subaru,forester,fair,170000
5500,2001,toyota,4runner,fair,265000
3000,2009,honda,civic,fair,151700
27990,2019,toyota,tacoma,good,4686
5975,2008,honda,civic,excellent,178000
17995,2016,subaru,outback,good,75944
18000,2017,toyota,rav4,excellent,47500
28990,2014,toyota,tundra,good,36114
14990,2014,honda,civic,good,28055
14590,2015,honda,civic,good,81815
27990,2016,toyota,4runner,good,50910
28590,2017,toyota,tacoma,good,8194
10500,2003,toyota,tacoma,good,219400
31990,2012,toyota,tundra,good,24955
31445,2018,toyota,tacoma,excellent,40000
27590,2016,toyota,tacoma,good,24849
4400,2004,honda,civic,excellent,132396
17995,2016,subaru,outback,good,75944
29990,2012,toyota,tundra,good,35474
564,2017,honda,accord,excellent,29677
15500,2013,toyota,tacoma,excellent,107550
10990,2012,honda,civic,good,83311
15990,2017,honda,civic,good,15635
34990,2018,toyota,tacoma,good,14808
32990,2016,toyota,4runner,good,30684
15999,2018,toyota,rav4,excellent,104000
36990,2016,toyota,tundra,good,19009
13500,2004,toyota,tacoma,good,205000
1800,2002,honda,civic,good,200000
540,2016,honda,accord,excellent,35293
34990,2017,toyota,tacoma,good,18093
16990,2014,honda,accord,good,22416
17990,2014,honda,accord,good,34791
28990,2013,toyota,tundra,good,50979
540,2020,honda,civic,excellent,5153
25990,2018,subaru,wrx,good,9958
35590,2018,toyota,4runner,good,21339
16590,2014,honda,civic,good,17761
21990,2014,toyota,tacoma,good,37957
41590,2018,toyota,tundra,good,35336
17995,2016,subaru,outback,good,75944
26990,2017,toyota,tacoma,good,12584
18500,2009,subaru,wrx,excellent,103000
28990,2013,toyota,tundra,good,23490
12590,2012,honda,accord,good,85747
9777,2006,toyota,tacoma,good,103500
21900,2015,toyota,tundra,excellent,70000
6000,2004,toyota,tacoma,excellent,230000
12500,2015,honda,civic,excellent,60000
4100,2007,honda,civic,good,191333
6000,2008,subaru,forester,excellent,142650
5900,2005,subaru,wrx,good,105000
7500,2008,honda,accord,good,124000
27888,2014,toyota,tacoma,excellent,90907
29149,2018,toyota,tacoma,excellent,25470
3900,2001,honda,civic,excellent,146000
6999,2009,honda,accord,excellent,122000
5999,2012,honda,civic,excellent,169000
12500,2014,toyota,rav4,good,76576
